2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
	Red	1st	£/kg					1.27		0.79	0.65	0.93		0.59	
	Red	2nd	£/kg					0.89	0.78	0.72	0.47	0.54		0.42	
	Red	Ave	£/kg					1.06	0.78	0.77	0.57	0.70		0.47	
Carrots	Topped-Washed	-	£/kg	0.27	0.28	0.28	0.27	0.30	0.33	0.31	0.28	0.29	0.28	0.28	0.27
Cauliflowers	Kent	-	£/head	0.52	0.64	0.53	0.46	0.58	0.66	0.58	0.51	0.60	0.42	0.55	0.81
	All Other	-	£/head	0.54	0.60	0.51	0.42	0.56	0.55	0.53	0.53	0.63	0.40	0.56	0.87
Celery	All Washed	-	£/kg						0.65	0.59	0.52	0.54	0.54	0.57	0.56
Courgettes	All Varieties	-	£/kg					0.53	0.35	0.37	0.40	0.52	0.54		
Cucumbers	All Varieties	-	£/kg		0.99	0.66	0.64	0.58	0.62	0.69	0.71	0.68	0.83	0.59	
Beans	Dwarf, French or Kidney	-	£/kg						3.53	1.83	1.18	1.40	1.47		
Leeks	Trimmed	-	£/kg	0.82	0.77	0.77	0.34	0.36	0.55	0.44	0.41	0.36	0.36	0.37	0.37
Lettuce	Butterhead – Indoor	1st	£/head	0.34	0.34	0.31	0.31	0.30	0.31	0.29	0.31	0.32	0.31	0.31	0.31
	Butterhead – Indoor	2nd	£/head	0.31	0.30	0.29	0.26	0.26	0.25	0.25		0.17		0.27	0.28
	Butterhead – Indoor	Ave	£/head	0.34	0.34	0.31	0.30	0.30	0.30	0.29	0.31	0.32	0.31	0.30	0.31
	Cos	1st	£/head				0.67	0.55	0.56	0.47	0.45	0.51	0.52	0.54	
	Cos	2nd	£/head					0.39	0.38	0.36	0.32	0.35	0.34		
	Cos	Ave	£/head				0.67	0.53	0.53	0.46	0.44	0.49	0.50	0.54	
	Crisp-Iceberg Type	1st	£/head					0.33	0.39	0.33	0.39	0.43	0.36	0.36	
	Crisp-Iceberg Type	2nd	£/head					0.17	0.23	0.22	0.24	0.26	0.20	0.22	
	Crisp-Iceberg Type	Ave	£/head					0.33	0.38	0.32	0.37	0.42	0.33	0.30	
	Little Gem	1st	£/twin	0.65	0.61	0.55	0.55	0.53	0.52	0.49	0.53	0.52	0.52	0.51	0.53
	Little Gem	2nd	£/twin					0.36	0.35	0.35	0.38	0.40	0.36	0.33	0.34
	Little Gem	Ave	£/twin	0.65	0.61	0.55	0.55	0.52	0.50	0.48	0.52	0.52	0.51	0.50	0.52
Mushrooms	Button – Indoor	-	£/kg	1.80											
	Cup – Indoor	-	£/kg		1.90	1.84	1.87	1.85	1.87	1.83	1.77				
	Flat – Indoor	-	£/kg								2.07				
Parsnips	All Varieties	-	£/kg	0.88	0.87	0.82	0.80	0.81	0.86	1.09	0.85	0.87	0.90	0.88	0.84
Rhubarb	Forced	-	£/kg	3.25	2.58	2.44	2.84								
	Outdoor	-	£/kg			1.29	1.04	0.99	1.04	1.22	1.20	1.16			
Runner Beans	Runner-Climbing	-	£/kg						3.46	1.92	1.64	1.38	1.21		
Salad Onions	Salad	-	£/bunch				0.29	0.25	0.25	0.25	0.25	0.25	0.23	0.19	
Shelling Peas	All Varieties	-	£/kg					1.31	0.75	0.70	0.68	0.68	0.94		
Spinach	Leaf - Loose/bunches	-	£/kg	1.20		1.13	0.96	0.90	0.75	0.84	0.91	0.76	0.65	0.62	1.00
Swede	All Varieties	-	£/kg	0.33	0.32	0.31	0.29	0.28	0.30	0.34	0.34	0.33	0.32	0.30	0.29
Sweetcorn	All Varieties	-	£/cob								0.21	0.24	0.23	0.23	
Tomatoes	Round	1st	£/kg				1.23	0.92	0.96	0.89	0.69	0.98	0.99	0.88	1.08
	Round	2nd	£/kg			1.12	0.71	0.49	0.51	0.54	0.39	0.56	0.61	0.51	
	Round	Ave	£/kg			1.12	1.20	0.85	0.91	0.86	0.66	0.95	0.97	0.84	1.08
	Vine	1st	£/kg				2.11	1.02	1.08	1.06	0.90	1.01	1.04	0.92	
	Vine	2nd	£/kg							0.58	0.55		0.92		
	Vine	Ave	£/kg				2.11	1.02	1.08	1.02	0.88	1.01	1.04	0.92	
	Cherry	1st	£/kg				2.00	2.31	2.30	2.10	1.75	2.07	2.43	2.21	
	Cherry	2nd	£/kg												
	Cherry	Ave	£/kg				2.00	2.31	2.30	2.10	1.75	2.07	2.43	2.21	
	Plum	1st	£/kg							0.89	0.96	0.93	1.03	0.96	
	Plum	2nd	£/kg							0.54				0.46	
	Plum	Ave	£/kg							0.82	0.96	0.93	1.03	0.86	
Turnip	All Varieties	-	£/kg	0.83	0.89	0.88	0.86	0.98	0.91	0.90	0.94	0.94	0.95	0.91	0.89
Watercress	All Varieties	-	£/bunch	0.51	0.52	0.52	0.54	0.56	0.54	0.56	0.56	0.55	0.54	0.54	0.51
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	1.05	1.00	1.12	0.98	1.02	0.98	1.00	1.07	1.15	1.18	1.06	1.40
Chrysanthemums	Indoor-bloom	-	£/bloom								0.53	0.51	0.44	0.35	1.00
	Indoor-spray	-	£/spray	0.47			1.10	0.33	0.95	0.28	0.28	0.25	0.19	0.17	0.17
Gladioli	All Varieties	-	£/bunch(1)					0.50	0.45	0.66	0.59	0.55	0.69		
Irises	Indoor	-	£/bunch(1)			0.78	0.61	0.57	0.60			0.61	0.39		
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.56	0.51	0.44	0.39						0.55	0.61	0.60
Oriental Lilies	Homegrown	-	£/stem				0.65	0.64	0.63	0.75	0.83	0.91	0.86	1.03	0.97
Pinks	All Varieties	-	£/bunch(3)					0.41	0.33	0.27	0.23	0.25	0.25		
Tulips	Indoor	-	£/bunch(4)	0.50	0.44	0.36	0.70	0.59	0.50					0.80	0.90
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	1.22	1.19	1.28	1.25	1.23	1.09	1.25	1.20	1.25	1.25	1.25	1.25
Cyclamen	13cm	-	£ each	1.46	1.50						0.75	1.37	1.38	1.39	1.38
Poinsettia	13cm	-	£ each											2.92	2.73
Chrysanthemum	13cm	-	£ each	1.25	1.27	1.33	1.25	1.25	1.19	1.25	0.95	1.24	1.25	1.25	1.38
2015		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg												
Blackcurrants	All Varieties	-	£/kg												
Cherries	Sweet Black	-	£/kg												
	Sweet White	-	£/kg												
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.65	0.63	0.63	0.64	0.66							
	Bramley’s Seedling	2nd	£/kg	0.43	0.47	0.46	0.44	0.44							
	Bramley’s Seedling	Ave	£/kg	0.61	0.61	0.60	0.60	0.61							
Damsons	All Varieties	-	£/kg												
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.71	0.79	0.93									
	Cox’s Orange-group	2nd	£/kg	0.47	0.56	0.65									
	Cox’s Orange-group	Ave	£/kg	0.69	0.78	0.89	1.00								
	Discovery	1st	£/kg												
	Discovery	2nd	£/kg												
	Discovery	Ave	£/kg												
	Egremont Russet	1st	£/kg	0.73	0.78	0.75									
	Egremont Russet	2nd	£/kg	0.53	0.58	0.57									
	Egremont Russet	Ave	£/kg	0.73	0.77	0.74									
	Spartan	1st	£/kg	0.54											
	Spartan	2nd	£/kg												
	Spartan	Ave	£/kg	0.54											
	Worcester Pearmain	1st	£/kg												
	Worcester Pearmain	2nd	£/kg												
	Worcester Pearmain	Ave	£/kg												
	Braeburn	1st	£/kg	0.64	0.63	0.61	0.61	0.63							
	Braeburn	2nd	£/kg	0.45	0.45	0.44	0.47	0.46							
	Braeburn	Ave	£/kg	0.62	0.61	0.59	0.59	0.62							
	Gala	1st	£/kg	0.74	0.70	0.67	0.70	0.66							
	Gala	2nd	£/kg	0.48	0.52	0.48	0.50								
	Gala	Ave	£/kg	0.72	0.69	0.64	0.68	0.66							
	Other Early Season	-	£/kg												
	Other Mid Season	-	£/kg												
	Other Late Season	-	£/kg	0.66	0.59	0.57	0.63	0.64							
	Jonogold – group	1st	£/kg	0.58			0.71	0.68							
	Jonogold – group	2nd	£/kg	0.44											
	Jonogold – group	Ave	£/kg	0.58			0.71	0.68							
Gooseberries	All Varieties	-	£/kg												
Pears	Conference	1st	£/kg	0.52	0.49	0.49	0.52	0.56							
	Conference	2nd	£/kg	0.36	0.44	0.39	0.39	0.44							
	Conference	Ave	£/kg	0.48	0.48	0.45	0.45	0.52							
	Doyenne Du Comice	1st	£/kg	0.62	0.63	0.70	0.69	0.61							
	Doyenne Du Comice	2nd	£/kg	0.41	0.51	0.39	0.33								
	Doyenne Du Comice	Ave	£/kg	0.59	0.62	0.55	0.50	0.61							
	William’s Bon Chretien	1st	£/kg												
	William’s Bon Chretien	2nd	£/kg												
	William’s Bon Chretien	Ave	£/kg												
	Other	1st	£/kg	0.24		0.66	0.61								
	Other	2nd	£/kg	0.44	0.42										
	Other	Ave	£/kg	0.37	0.42	0.66	0.61								
Plums and Gages	Czar	-	£/kg												
	Majorie’s Seedling	-	£/kg												
	Victoria	-	£/kg												
	Other Varieties	-	£/kg												
Raspberries	All Varieties	-	£/kg					7.74							
Redcurrants	All Varieties	-	£/kg												
Strawberries	All Varieties	1st	£/kg				2.07	3.34							
	All Varieties	2nd	£/kg			2.23	1.40	1.39							
	All Varieties	Ave	£/kg			2.23	1.60	2.43							
VEGETABLES															
Asparagus	All Varieties	-	£/kg			12.05	9.37	5.79							
Beetroot	Topped	-	£/kg	0.15	0.16	0.15	0.16	0.16							
Broad Beans	Broad	-	£/kg					2.26							
Brussels Sprouts	All Varieties	-	£/kg	0.25	0.25	0.26	0.25								
Bulb Onions	Yellow	-	£/kg	0.26	0.29	0.27	0.30	0.32							
	Red	-	£/kg	0.45	0.44	0.39	0.41	0.43							
Cabbage	Red	-	£/kg	0.30	0.30	0.30	0.33	0.38							
	Savoy	-	£/head	0.35	0.37	0.38	0.41	0.41							
(reported as combined item before 2007)	Spring Greens - Loose	-	£/kg	0.62	0.64										
	Spring Greens - Prepacked	-	£/kg	0.64	0.81	0.81	0.75	0.72							
	Summer & Autumn-Pointed	-	£/kg				0.46	0.50							
	Summer & Autumn Round	-	£/head	0.34	0.31	0.39	0.42	0.48							
	White	-	£/kg	0.26	0.26	0.28	0.29	0.36							
	Winter Other	-	£/head	0.36	0.34	0.35	0.36	0.35							
Calabrese	All Varieties	-	£/kg					0.70							
Capsicums	Green	1st	£/kg												
	Green	2nd	£/kg				0.69	0.75							
	Green	Ave	£/kg				0.69	0.75							
	Red	1st	£/kg				1.49								
	Red	2nd	£/kg					0.85							
	Red	Ave	£/kg				1.49	0.85							
Carrots	Topped-Washed	-	£/kg	0.27	0.27	0.27	0.32	0.43							
Cauliflowers	Kent	-	£/head	0.87	0.64	0.52	0.43	0.45							
	All Other	-	£/head	0.74	0.59	0.46	0.42	0.43							
Celery	All Washed	-	£/kg												
Courgettes	All Varieties	-	£/kg												
Cucumbers	All Varieties	-	£/kg		1.23	0.76	0.70	0.65							
Beans	Dwarf, French or Kidney	-	£/kg												
Leeks	Trimmed	-	£/kg	0.35	0.38	0.37	0.37	0.37							
Lettuce	Butterhead – Indoor	1st	£/head	0.33	0.33	0.33	0.32	0.31							
	Butterhead – Indoor	2nd	£/head	0.30	0.30	0.29	0.27	0.27							
	Butterhead – Indoor	Ave	£/head	0.33	0.33	0.32	0.31	0.31							
	Cos	1st	£/head					0.54							
	Cos	2nd	£/head					0.38							
	Cos	Ave	£/head					0.52							
	Crisp-Iceberg Type	1st	£/head					0.36							
	Crisp-Iceberg Type	2nd	£/head					0.17							
	Crisp-Iceberg Type	Ave	£/head					0.36							
	Little Gem	1st	£/twin	0.60	0.61	0.61	0.63	0.56							
	Little Gem	2nd	£/twin												
	Little Gem	Ave	£/twin	0.60	0.61	0.61	0.63	0.56							
Mushrooms	Button – Indoor	-	£/kg												
	Cup – Indoor	-	£/kg												
	Flat – Indoor	-	£/kg												
Parsnips	All Varieties	-	£/kg	0.78	0.80	0.77	0.78	0.76							
Rhubarb	Forced	-	£/kg	3.76	3.45	3.62	3.84	5.65							
	Outdoor	-	£/kg			2.68	1.86	1.30							
Runner Beans	Runner-Climbing	-	£/kg												
Salad Onions	Salad	-	£/bunch				0.24	0.24							
Shelling Peas	All Varieties	-	£/kg												
Spinach	Leaf - Loose/bunches	-	£/kg				0.95	0.81							
Swede	All Varieties	-	£/kg	0.30	0.29	0.28	0.28	0.28							
Sweetcorn	All Varieties	-	£/cob												
Tomatoes	Round	1st	£/kg			1.37	1.11	0.91							
	Round	2nd	£/kg			0.62		0.46							
	Round	Ave	£/kg			1.10	1.11	0.86							
	Vine	1st	£/kg			0.88	1.00	1.07							
	Vine	2nd	£/kg			0.71									
	Vine	Ave	£/kg			0.75	1.00	1.07							
	Cherry	1st	£/kg				2.91	2.37							
	Cherry	2nd	£/kg												
	Cherry	Ave	£/kg				2.91	2.37							
	Plum	1st	£/kg					1.02							
	Plum	2nd	£/kg												
	Plum	Ave	£/kg					1.02							
Turnip	All Varieties	-	£/kg	0.92	0.52	0.70	0.96	0.84							
Watercress	All Varieties	-	£/bunch	0.52	0.56	0.54	0.55	0.56							
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	1.18	1.22	1.29	1.14	1.19							
Chrysanthemums	Indoor-bloom	-	£/bloom												
	Indoor-spray	-	£/spray	0.24			0.63								
Gladioli	All Varieties	-	£/bunch(1)												
Irises	Indoor	-	£/bunch(1)		0.88	0.95	0.80	0.56							
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.58	0.62	0.54	0.42								
Oriental Lilies	Homegrown	-	£/stem				0.79	0.70							
Pinks	All Varieties	-	£/bunch(3)					0.40							
Tulips	Indoor	-	£/bunch(4)	0.77	0.86	0.85	0.88	0.83							
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	1.25	1.13	1.08	1.10	1.20							
Cyclamen	13cm	-	£ each	1.37		1.30									
Poinsettia	13cm	-	£ each												
Chrysanthemum	13cm	-	£ each	1.25	1.19	1.21	1.23	1.23							
