2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
	All Varieties	Ave	£/kg				2.82	1.80	1.73	1.32	2.01	1.33	1.48		
VEGETABLES															
Asparagus	All Varieties	1st	£/kg				4.20	3.16	2.82						
	All Varieties	2nd	£/kg				2.54	2.24	1.75						
	All Varieties	Ave	£/kg				4.11	2.99	2.48						
Aubergine	All Varieties	1st	£/kg			6.17	4.75	3.98	4.16	3.68	5.67	5.44	4.59	3.75	
	All Varieties	2nd	£/kg												
	All Varieties	Ave	£/kg												
Beetroot	Topped	-	£/kg	0.24	0.25	0.25	0.24	0.22	0.25	0.29	0.26	0.25	0.25	0.25	0.26
Broad Beans	Broad	-	£/kg					1.29	0.63	0.53	0.79	0.76	0.62		
Brussels Sprouts	All Varieties	1st	£/kg	1.53	1.57	1.95					2.63	2.25	2.09	1.84	1.96
	All Varieties	2nd	£/kg	1.12	1.20	1.29	1.62				2.15	1.74	1.50	1.44	1.40
	All Varieties	Ave	£/kg	1.45	1.47	1.71					2.54	2.13	2.00	1.76	1.85
Bulb Onions	Bulb	1st	£/kg	0.24	0.23	0.23	0.22	0.22	0.33	0.40	0.44	0.41	0.37	0.36	0.35
	Bulb	2nd	£/kg	0.24	0.23	0.20	0.19	0.18	0.25	0.34	0.43	0.39	0.35	0.33	0.33
	Bulb	Ave	£/kg	0.24	0.23	0.21	0.20	0.20	0.27	0.37	0.43	0.40	0.36	0.34	0.34
Cabbage	Red	1st	£/kg	0.23	0.22	0.24	0.24	0.31	0.35	0.35	0.33	0.29	0.27	0.26	0.27
	Red	2nd	£/kg	0.20	0.20	0.19	0.19	0.23	0.28	0.28	0.24	0.25	0.21	0.21	0.26
	Red	Ave	£/kg	0.23	0.22	0.23	0.23	0.30	0.34	0.34	0.30	0.28	0.26	0.26	0.27
	Savoy	1st	£/head	0.26	0.28	0.30	0.34	0.39	0.42	0.37	0.30	0.29	0.28	0.27	0.28
	Savoy	2nd	£/head	0.20	0.25	0.29	0.28	0.32		0.30	0.27	0.26	0.22	0.22	0.24
	Savoy	Ave	£/head	0.25	0.27	0.30	0.32	0.34		0.36	0.29	0.29	0.27	0.26	0.27
	Spring Greens	-	£/kg	0.52	0.66	0.54	0.40	0.38	0.37	0.33	0.31	0.36	0.33	0.32	0.32
	Summer & Autumn-Pointed	1st	£/kg				0.51	0.46	0.42	0.37	0.34	0.35	0.37	0.34	0.39
	Summer & Autumn-Pointed	2nd	£/kg				0.30	0.27	0.31	0.34	0.32	0.33		0.43	
	Summer & Autumn-Pointed	Ave	£/kg				0.50	0.45	0.41	0.37	0.34	0.35		0.35	
	Summer & Autumn-Round	1st	£/head	0.21			0.22	0.43	0.41	0.33	0.28	0.28	0.26	0.25	0.26
	Summer & Autumn Round	2nd	£/head	0.18			0.32	0.30	0.28	0.27	0.20	0.21	0.20	0.19	0.21
	Summer & Autumn Round	Ave	£/head	0.20			0.25	0.42	0.39	0.32	0.27	0.27	0.25	0.25	0.25
	White	1st	£/kg	0.22	0.21	0.22	0.22	0.28	0.31	0.34	0.33	0.29	0.27	0.26	0.26
	White	2nd	£/kg	0.19	0.20	0.19	0.19	0.23	0.26	0.27	0.26	0.27	0.26	0.24	0.26
	White	Ave	£/kg	0.22	0.21	0.21	0.22	0.27	0.30	0.34	0.32	0.28	0.27	0.25	0.26
	Winter Other	1st	£/head	0.25	0.25	0.27	0.26	0.37					0.27	0.27	0.29
	Winter Other	2nd	£/head	0.20	0.22	0.20	0.23	0.24							0.26
	Winter Other	Ave	£/head	0.24	0.25	0.26	0.25	0.34							0.29
